路段,时间,蓝牌车辆数,黄牌车辆数,合计,平均车速,大车混入率,拥堵路段占比,可吸入物排放量,氮氧化物排放量,一氧化碳排放量,服务水平,管控措施,路段预测流量,v2x平均车速,v2x平均车头时距,v2x车辆数,v2x行驶里程,v2x车牌号,v2x车辆类型
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:20:00,238,167,753,104,0.44,0.31,480,403,705,A,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,443,113,8,12,117,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:20:00,226,175,798,104,0.32,0.21,416,409,610,A,无,488,105,7,11,129,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:20:00,277,103,608,108,0.42,0.2,315,419,605,A,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,383,103,7,16,121,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:20:00,249,119,692,103,0.68,0.35,458,417,732,C,无,457,113,11,12,102,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:20:00,209,132,606,110,0.42,0.27,491,401,723,D,无,434,114,13,18,114,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:20:00,284,123,756,115,0.47,0.2,327,429,641,B,无,472,110,3,14,127,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:20:00,239,151,627,105,0.22,0.32,456,428,728,A,无,379,116,14,12,104,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:20:00,222,150,745,103,0.6,0.33,453,413,688,B,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,468,115,6,16,104,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:20:00,284,142,696,115,0.33,0.27,353,424,617,B,无,416,115,10,11,106,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:20:00,295,161,783,116,0.38,0.22,401,419,706,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,372,106,5,12,129,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:20:00,263,113,733,108,0.64,0.21,351,419,723,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,464,110,14,12,123,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:20:00,216,164,664,113,0.65,0.28,336,430,718,B,无,302,106,12,14,125,浙A***58,小汽车
路网,2021-06-12 10:21:00,246,107,751,115,0.51,0.22,314,405,735,C,无,354,118,5,19,120,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:21:00,295,130,680,103,0.38,0.34,499,429,700,B,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,379,115,11,19,100,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:21:00,218,150,778,105,0.45,0.29,341,403,663,D,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,347,105,6,10,129,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:21:00,297,160,725,115,0.52,0.32,357,420,680,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,341,114,14,13,100,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:21:00,263,142,793,103,0.37,0.27,472,425,606,C,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,432,107,14,18,121,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:21:00,223,154,747,111,0.22,0.3,432,420,605,C,无,436,114,10,12,125,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:21:00,211,178,726,104,0.54,0.2,469,402,748,D,无,464,117,14,16,109,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:21:00,299,192,710,108,0.56,0.3,346,425,678,D,无,397,116,11,15,113,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:21:00,205,194,621,113,0.45,0.39,482,430,633,C,无,311,104,14,11,130,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:21:00,274,168,741,112,0.39,0.31,301,400,629,B,无,437,116,11,17,101,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:21:00,262,145,691,118,0.38,0.22,396,420,706,D,无,423,114,3,17,108,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:21:00,258,163,618,111,0.49,0.38,441,424,728,A,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,443,115,12,18,106,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:21:00,244,193,701,104,0.21,0.38,424,405,742,A,无,488,114,4,10,109,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:21:00,255,125,710,110,0.38,0.39,425,407,704,A,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,383,108,10,18,121,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:21:00,245,101,602,107,0.66,0.28,422,426,619,C,无,457,109,11,11,122,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:21:00,267,191,765,105,0.24,0.34,314,403,627,D,无,434,117,8,18,104,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:21:00,277,167,759,111,0.62,0.32,423,417,671,B,无,472,109,12,15,100,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:21:00,278,146,734,113,0.49,0.33,300,428,735,A,无,379,113,8,13,106,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:21:00,252,149,742,114,0.46,0.31,322,427,691,B,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,468,105,14,17,113,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:21:00,238,154,741,111,0.63,0.28,484,412,701,B,无,416,115,13,17,102,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:21:00,293,187,769,114,0.37,0.3,320,419,684,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,372,110,7,15,118,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:21:00,256,188,631,118,0.28,0.39,350,429,624,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,464,117,7,18,107,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:21:00,235,163,747,109,0.41,0.22,321,414,729,B,无,302,110,13,16,102,浙A***58,小汽车
路网,2021-06-12 10:22:00,234,165,681,111,0.55,0.34,388,400,655,C,无,354,103,10,17,115,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:22:00,263,176,764,112,0.3,0.39,442,404,627,B,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,379,115,8,16,118,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:22:00,220,128,794,106,0.38,0.33,326,427,652,D,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,347,111,13,18,102,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:22:00,220,113,719,116,0.53,0.29,430,412,688,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,341,102,6,16,130,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:22:00,256,184,608,111,0.42,0.28,436,416,706,C,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,432,102,7,15,117,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:22:00,200,182,779,114,0.6,0.27,321,403,631,C,无,436,107,6,13,115,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:22:00,278,113,734,118,0.46,0.35,300,429,721,D,无,464,112,8,19,125,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:22:00,245,189,773,109,0.58,0.39,434,409,710,D,无,397,116,8,16,121,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:22:00,285,141,740,114,0.29,0.2,416,422,609,C,无,311,103,14,16,125,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:22:00,240,167,752,104,0.25,0.3,349,431,695,B,无,437,114,7,19,129,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:22:00,215,156,634,111,0.36,0.36,393,426,728,D,无,423,108,14,18,110,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:22:00,297,129,777,112,0.58,0.39,463,425,639,A,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,443,102,7,19,129,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:22:00,250,188,638,113,0.25,0.32,385,406,644,A,无,488,110,7,10,126,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:22:00,250,186,668,114,0.37,0.2,319,427,658,A,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,383,112,3,15,102,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:22:00,250,137,696,117,0.26,0.25,303,404,684,C,无,457,113,7,11,131,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:22:00,201,159,610,111,0.36,0.28,338,424,685,D,无,434,105,3,15,122,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:22:00,237,120,661,110,0.2,0.33,346,427,600,B,无,472,105,3,14,130,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:22:00,290,152,716,107,0.34,0.31,382,408,677,A,无,379,105,13,16,115,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:22:00,243,172,685,115,0.69,0.25,320,418,610,B,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,468,104,12,14,117,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:22:00,211,171,646,106,0.44,0.28,318,429,620,B,无,416,102,14,16,131,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:22:00,246,139,725,118,0.24,0.2,418,407,746,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,372,104,14,14,129,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:22:00,222,131,683,111,0.66,0.38,465,423,629,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,464,118,4,17,101,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:22:00,279,157,729,118,0.6,0.28,421,416,612,B,无,302,110,13,18,105,浙A***58,小汽车
路网,2021-06-12 10:23:00,201,173,699,111,0.46,0.39,426,420,717,C,无,354,105,5,11,101,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:23:00,231,161,716,114,0.37,0.3,365,424,706,B,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,379,106,7,12,125,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:23:00,289,129,710,103,0.56,0.34,440,409,721,D,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,347,103,11,13,131,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:23:00,234,177,729,116,0.57,0.21,457,420,606,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,341,107,4,19,110,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:23:00,297,146,669,113,0.45,0.26,369,411,719,C,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,432,115,14,15,131,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:23:00,235,152,728,107,0.48,0.22,320,430,645,C,无,436,108,6,16,106,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:23:00,269,118,724,117,0.63,0.31,485,415,737,D,无,464,117,12,13,111,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:23:00,227,176,691,110,0.24,0.38,426,417,673,D,无,397,102,6,17,118,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:23:00,209,114,666,106,0.36,0.35,420,403,660,C,无,311,110,6,11,115,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:23:00,231,175,797,115,0.31,0.23,402,419,682,B,无,437,108,10,14,118,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:23:00,220,148,736,118,0.52,0.38,497,414,739,D,无,423,110,9,13,121,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:23:00,286,131,773,116,0.29,0.31,495,404,694,A,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,443,104,4,14,123,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:23:00,263,148,690,106,0.68,0.25,432,421,674,A,无,488,106,5,11,118,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:23:00,205,141,666,112,0.65,0.24,428,430,665,A,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,383,103,7,12,117,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:23:00,297,132,725,118,0.55,0.31,404,400,631,C,无,457,115,10,12,127,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:23:00,230,148,774,109,0.21,0.28,304,418,654,D,无,434,116,4,14,103,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:23:00,257,144,619,109,0.67,0.24,437,431,647,B,无,472,110,5,18,115,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:23:00,202,101,675,108,0.43,0.21,431,424,664,A,无,379,110,14,12,120,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:23:00,242,154,777,110,0.51,0.29,429,405,711,B,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,468,105,14,11,124,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:23:00,224,105,760,103,0.44,0.26,300,416,616,B,无,416,103,7,15,100,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:23:00,251,113,671,116,0.64,0.28,498,413,751,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,372,106,3,12,115,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:23:00,200,196,717,104,0.28,0.39,452,406,708,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,464,109,8,11,106,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:23:00,280,100,790,112,0.47,0.2,457,400,673,B,无,302,110,3,15,121,浙A***58,小汽车
路网,2021-06-12 10:24:00,252,134,699,104,0.5,0.38,442,404,648,C,无,354,108,13,15,111,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:24:00,281,196,730,107,0.66,0.25,319,411,639,B,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,379,111,5,10,108,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:24:00,235,116,640,113,0.57,0.25,391,402,716,D,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,347,103,5,12,109,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:24:00,202,122,627,109,0.47,0.37,412,405,601,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,341,118,5,10,130,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:24:00,251,181,627,117,0.31,0.23,441,401,747,C,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,432,107,5,18,103,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:24:00,293,185,631,106,0.54,0.33,437,400,619,C,无,436,109,6,11,112,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:24:00,269,186,661,106,0.7,0.35,321,414,622,D,无,464,114,7,10,117,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:24:00,296,166,682,103,0.59,0.36,399,424,705,D,无,397,107,5,17,124,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:24:00,274,177,737,117,0.65,0.35,356,412,713,C,无,311,106,8,14,127,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:24:00,231,143,668,104,0.69,0.34,340,430,742,B,无,437,114,12,15,110,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:24:00,284,153,672,104,0.33,0.32,308,422,722,D,无,423,104,6,13,106,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:24:00,245,183,733,117,0.7,0.3,429,425,630,A,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,443,114,7,14,128,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:24:00,243,152,793,104,0.36,0.31,334,412,682,A,无,488,110,6,19,100,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:24:00,230,140,669,110,0.44,0.33,360,423,719,A,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,383,106,9,19,128,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:24:00,277,121,779,108,0.3,0.35,400,412,635,C,无,457,102,11,19,105,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:24:00,205,199,635,110,0.5,0.26,388,423,614,D,无,434,110,6,18,103,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:24:00,296,115,626,111,0.41,0.37,333,412,704,B,无,472,102,7,14,126,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:24:00,251,128,789,106,0.64,0.26,437,415,732,A,无,379,117,14,11,104,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:24:00,298,192,612,113,0.41,0.28,304,422,628,B,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,468,117,13,11,116,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:24:00,213,169,600,116,0.41,0.21,322,417,749,B,无,416,118,13,19,116,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:24:00,206,122,697,107,0.32,0.25,430,411,607,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,372,107,9,13,116,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:24:00,280,189,769,111,0.58,0.22,349,428,674,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,464,106,6,14,130,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:24:00,239,153,679,105,0.3,0.33,496,431,707,B,无,302,102,8,19,129,浙A***58,小汽车
路网,2021-06-12 10:25:00,207,179,698,104,0.52,0.3,430,409,602,C,无,354,104,10,11,107,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:25:00,249,189,720,116,0.69,0.33,358,429,641,B,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,379,107,5,19,112,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:25:00,271,116,632,105,0.3,0.22,486,422,695,D,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,347,110,7,10,110,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:25:00,243,163,634,108,0.51,0.28,448,401,661,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,341,108,6,18,131,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:25:00,255,193,638,116,0.2,0.29,350,412,609,C,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,432,105,8,14,130,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:25:00,274,151,795,108,0.38,0.38,434,414,668,C,无,436,107,12,15,107,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:25:00,239,101,704,113,0.35,0.35,337,431,651,D,无,464,116,8,14,111,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:25:00,251,129,700,111,0.68,0.28,489,412,736,D,无,397,108,5,14,129,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:25:00,285,137,679,110,0.67,0.32,415,402,744,C,无,311,114,10,15,102,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:25:00,205,109,797,115,0.68,0.28,317,420,669,B,无,437,104,6,10,119,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:25:00,225,136,761,117,0.65,0.34,413,426,694,D,无,423,107,12,13,131,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:25:00,291,119,696,107,0.68,0.36,485,428,736,A,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,443,117,6,11,110,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:25:00,279,180,615,117,0.59,0.3,453,413,705,A,无,488,111,4,16,124,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:25:00,262,163,723,114,0.25,0.23,411,402,702,A,沽渚枢纽_上虞互通_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,383,114,3,14,124,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:25:00,266,156,715,115,0.65,0.35,391,406,733,C,无,457,113,7,14,115,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:25:00,248,189,715,113,0.25,0.28,445,409,641,D,无,434,117,11,14,108,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:25:00,286,103,788,116,0.35,0.33,447,424,679,B,无,472,105,9,19,103,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:25:00,287,179,614,116,0.33,0.39,310,423,643,A,无,379,104,5,19,115,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:25:00,240,128,773,109,0.21,0.34,385,426,678,B,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,468,114,4,15,111,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:25:00,247,128,733,115,0.37,0.34,379,416,733,B,无,416,108,5,18,101,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:25:00,216,123,763,108,0.22,0.29,416,411,749,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,372,111,14,15,124,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:25:00,203,133,616,107,0.49,0.38,345,419,617,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,464,110,3,18,110,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:25:00,215,166,734,105,0.23,0.33,406,417,689,B,无,302,103,11,15,113,浙A***58,小汽车
路网,2021-06-12 10:26:00,254,142,662,103,0.62,0.23,403,402,677,C,无,354,110,12,19,119,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:26:00,268,113,621,115,0.44,0.34,400,400,731,B,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,379,116,6,11,123,浙A***58,小汽车
